cedear,ticker,ratio
AAPL.BA,AAPL,10
ABBV.BA,ABBV,10
ABEV.BA,ABEV,"0,3333333333"
ABT.BA,ABT,4
ACH.BA,ACH,1
ADBE.BA,ADBE,22
AGRO.BA,AGRO,"0,5"
ADI.BA,ADI,3
ADP.BA,ADP,6
AEM.BA,AEM,3
AIG.BA,AIG,5
AMAT.BA,AMAT,5
AMD.BA,AMD,"0,5"
AMGN.BA,AMGN,10
AMX.BA,AMX,1
AMZN.BA,AMZN,144
ARCO.BA,ARCO,"0,5"
AUY.BA,AUY,1
AVGO.BA,AVGO,39
AVY.BA,AVY,3
AXP.BA,AXP,5
AZN.BA,AZN,2
BA.BA,BA,6
BAC.BA,BAC,2
BABA.BA,BABA,9
BB.BA,BB,3
BBD.BA,BBD,1
BCS.BA,BCS,1
BHP.BA,BHP,2
BIDU.BA,BIDU,11
BIIB.BA,BIIB,13
BIOX.BA,BIOX,"0,5"
BK.BA,BK,2
BMY.BA,BMY,3
BP.BA,BP,5
BRFS.BA,BRFS,"0,3333333333"
BSBR.BA,BSBR,1
C.BA,C,3
CAAP.BA,CAAP,"0,25"
CAH.BA,CAH,3
CAJ.BA,CAJ,2
CAR.BA,CAR,1
CAT.BA,CAT,5
CDE.BA,CDE,1
CEO.BA,CEO,4
CL.BA,CL,3
COST.BA,COST,12
CRM.BA,CRM,6
CS.BA,CS,1
CSCO.BA,CSCO,5
CVX.BA,CVX,8
CX.BA,CX,1
DD.BA,DD,5
DE.BA,DE,10
DEO.BA,DEO,6
DESP.BA,DESP,1
DOCU.BA,DOCU,22
E.BA,E,4
EBAY.BA,EBAY,2
EBR.BA,EBR,"0,25"
EFX.BA,EFX,16
ERIC.BA,ERIC,2
ERJ.BA,ERJ,1
ETSY.BA,ETSY,16
FB.BA,FB,8
FCX.BA,FCX,1
FDX.BA,FDX,10
FMX.BA,FMX,2
FSLR.BA,FSLR,3
GE.BA,GE,1
GFI.BA,GFI,1
GGB.BA,GGB,"0,25"
GILD.BA,GILD,4
GLW.BA,GLW,4
GOLD.BA,GOLD,1
GOOGL.BA,GOOGL,58
GPRK.BA,GPRK,1
GRMN.BA,GRMN,3
GS.BA,GS,13
GSK.BA,GSK,4
HAL.BA,HAL,2
HD.BA,HD,8
HDB.BA,HDB,2
HL.BA,HL,1
HMC.BA,HMC,1
HMY.BA,HMY,1
HNP.BA,HNP,1
HOG.BA,HOG,3
HON.BA,HON,8
HPQ.BA,HPQ,1
HSBC.BA,HSBC,2
HSY.BA,HSY,3
HWM.BA,HWM,1
IBM.BA,IBM,5
IBN.BA,IBN,1
INFY.BA,INFY,1
ING.BA,ING,3
INTC.BA,INTC,5
IP.BA,IP,4
ITUB.BA,ITUB,1
JD.BA,JD,2
JNJ.BA,JNJ,5
JPM.BA,JPM,5
KB.BA,KB,2
KGC.BA,KGC,1
KMB.BA,KMB,6
KO.BA,KO,5
LFC.BA,LFC,2
LLY.BA,LLY,8
LMT.BA,LMT,20
LVS.BA,LVS,2
LYG.BA,LYG,2
MA.BA,MA,33
MBT.BA,MBT,2
MCD.BA,MCD,8
MDT.BA,MDT,4
MELI.BA,MELI,60
MFG.BA,MFG,1
MMC.BA,MMC,4
MMM.BA,MMM,5
MO.BA,MO,4
MRK.BA,MRK,5
MSFT.BA,MSFT,10
MSI.BA,MSI,5
MUFG.BA,MUFG,1
NEM.BA,NEM,3
NFLX.BA,NFLX,16
NGG.BA,NGG,2
NKE.BA,NKE,3
NMR.BA,NMR,1
NTES.BA,NTES,14
NUE.BA,NUE,2
NVDA.BA,NVDA,24
NVS.BA,NVS,4
ORAN.BA,ORAN,1
ORCL.BA,ORCL,3
PAAS.BA,PAAS,3
PBI.BA,PBI,1
PBR.BA,PBR,1
PCAR.BA,PCAR,3
PEP.BA,PEP,6
PFE.BA,PFE,2
PG.BA,PG,5
PHG.BA,PHG,5
PSX.BA,PSX,6
PTR.BA,PTR,4
PYPL.BA,PYPL,8
QCOM.BA,QCOM,11
RIO.BA,RIO,4
RTX.BA,RTX,5
SAN.BA,SAN,"0,25"
SAP.BA,SAP,6
SBS.BA,SBS,"0,5"
SBUX.BA,SBUX,4
SCCO.BA,SCCO,2
SHOP.BA,SHOP,107
SID.BA,SID,"0,125"
SIEGY.BA,SIEGY,3
SLB.BA,SLB,3
SNA.BA,SNA,6
SNAP.BA,SNAP,1
SNOW.BA,SNOW,30
SNP.BA,SNP,3
SONY.BA,SONY,4
SPOT.BA,SPOT,28
SQ.BA,SQ,20
SUZ.BA,SUZ,1
SYY.BA,SYY,2
T.BA,T,3
TGT.BA,TGT,4
TM.BA,TM,5
TMO.BA,TMO,22
TRIP.BA,TRIP,2
TSLA.BA,TSLA,15
TSM.BA,TSM,"0,3333333333"
TIMB.BA,TIMB,1
TTE.BA,TTE,3
TTM.BA,TTM,1
TV.BA,TV,3
TWTR.BA,TWTR,2
TXN.BA,TXN,5
UGP.BA,UGP,1
UL.BA,UL,3
UNH.BA,UNH,33
UNP.BA,UNP,20
URBN.BA,URBN,2
USB.BA,USB,1
V.BA,V,6
VALE.BA,VALE,2
VIV.BA,VIV,1
VOD.BA,VOD,1
VRSN.BA,VRSN,6
VZ.BA,VZ,2
WBA.BA,WBA,3
WBK.BA,WBK,3
WFC.BA,WFC,5
WMT.BA,WMT,6
X.BA,X,3
XOM.BA,XOM,5
YELP.BA,YELP,2
YY.BA,YY,5
ZM.BA,ZM,47
